16	5	13
16	5	5
16	5	2
27	25	17
27	25	12
27	25	15
56	30	3
77	25	8
77	25	0
77	25	2
81	25	8
81	25	3
81	25	4
86	5	4
88	17	4
88	17	9
88	17	0
92	25	5
92	25	2
92	25	0
96	25	3
96	25	4
96	25	15
99	25	2
99	25	7
99	25	5
107	25	6
107	25	4
107	25	0
109	8	3
109	8	4
109	8	8
111	25	8
111	25	7
111	25	10
113	16	10
113	16	7
113	16	5
118	17	8
118	17	6
118	17	7
127	31	1
127	31	5
127	31	0
134	31	19
134	31	10
134	31	14
137	29	2
137	29	13
137	29	9
140	25	2
140	25	3
140	25	1
144	25	8
144	25	12
144	25	11
146	17	3
146	17	5
146	17	9
149	25	7
149	25	13
149	25	8
154	25	1
154	25	15
154	25	9
155	25	3
198	25	11
198	25	4
198	25	7
199	31	15
199	31	17
199	31	11
200	31	7
200	31	6
200	31	0
203	31	6
203	31	11
203	31	18
205	31	1
205	31	6
205	31	12
209	31	13
209	31	9
209	31	15
211	31	18
211	31	5
211	31	0
213	31	4
213	31	1
213	31	7
215	31	12
215	31	6
215	31	9
216	16	2
216	16	6
216	16	7
217	31	4
217	31	3
217	31	9
221	17	8
221	17	9
221	17	17
224	29	3
224	29	8
224	29	13
227	31	13
227	31	15
227	31	9
228	31	17
228	31	15
228	31	6
229	31	6
229	31	5
229	31	10
231	31	11
231	31	12
231	31	15
233	31	14
237	31	11
237	31	7
237	31	3
239	31	16
239	31	4
239	31	0
242	31	5
242	31	7
242	31	8
244	31	12
244	31	5
244	31	6
246	31	11
246	31	10
246	31	14
247	25	7
247	25	10
247	25	17
248	31	0
250	31	2
250	31	10
250	31	0
252	31	8
252	31	7
252	31	2
256	31	6
256	31	17
256	31	15
258	31	11
258	31	18
260	31	2
260	31	18
260	31	13
263	31	16
263	31	15
263	31	17
265	31	11
265	31	1
265	31	10
269	31	15
269	31	6
269	31	11
271	31	2
271	31	12
271	31	0
276	31	9
276	31	10
276	31	17
279	31	4
279	31	9
279	31	7
280	31	19
280	31	14
283	31	16
283	31	15
283	31	11
285	31	13
285	31	3
285	31	0
290	31	8
294	31	19
297	31	5
297	31	9
297	31	8
300	31	16
301	31	18
301	31	12
302	31	13
302	31	8
302	31	15
319	3	10
319	3	1
319	3	4
320	5	7
320	5	8
320	5	13
321	3	18
321	3	19
323	20	11
323	20	3
323	20	12
330	6	9
330	6	10
330	6	3
334	17	2
334	17	17
334	17	3
337	1	12
337	1	9
337	1	2
342	25	6
342	25	2
342	25	15
349	1	12
349	1	4
352	22	10
354	31	11
354	31	4
354	31	6
358	13	16
362	12	8
382	31	14
383	20	18
383	20	8
383	20	15
402	21	7
402	21	4
402	21	14
404	21	10
404	21	11
404	21	7
408	21	13
408	21	7
408	21	17
412	12	7
412	12	8
412	12	10
414	16	10
416	21	14
416	21	10
416	21	0
426	16	8
430	21	17
430	21	6
430	21	3
432	21	17
432	21	14
438	5	8
438	5	10
438	5	2
450	5	19
450	5	6
450	5	7
456	17	7
456	17	5
456	17	1
458	17	10
458	17	6
458	17	2
466	5	11
471	17	4
471	17	15
472	17	13
472	17	6
476	5	12
483	7	6
483	7	15
483	7	1
488	5	11
488	5	3
488	5	17
491	5	8
491	5	12
502	5	5
505	17	9
505	17	1
505	17	4
506	25	16
506	25	18
508	5	4
508	5	12
515	3	14
515	3	13
515	3	16
532	25	3
532	25	4
532	25	1
537	3	8
537	3	14
537	3	2
542	20	12
542	20	14
542	20	5
545	31	16
545	31	12
545	31	17
551	5	5
570	29	14
570	29	19
570	29	8
571	25	12
571	25	17
571	25	7
572	30	18
579	5	5
579	5	9
583	8	16
586	5	8
586	5	13
589	10	11
589	10	19
589	10	18
599	1	16
599	1	18
599	1	9
609	31	12
609	31	15
609	31	8
615	30	15
615	30	2
615	30	11
619	7	10
619	7	7
619	7	3
630	17	4
633	20	14
635	1	16
636	5	11
636	5	16
640	5	10
640	5	5
640	5	0
649	1	13
650	17	10
650	17	6
650	17	14
652	7	9
652	7	12
654	5	12
654	5	0
654	5	5
661	5	6
661	5	2
661	5	7
662	5	13
663	25	0
663	25	2
663	25	7
